sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,subject,G_avg,pass
M,15,U,GT3,A,2,2,other,other,home,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16,16,Math,15.333333333333334,True
F,16,U,GT3,T,4,4,health,other,home,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,14,14,14,Math,14.0,True
F,16,U,GT3,T,4,4,services,services,reputation,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14,Math,13.666666666666666,True
F,16,U,GT3,T,3,3,other,other,reputation,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10,Math,9.333333333333334,True
M,17,U,GT3,T,3,2,services,services,course,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,6,5,5,Math,5.333333333333333,False
M,16,U,LE3,T,4,3,health,other,home,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10,Math,9.333333333333334,True
M,15,U,GT3,T,4,3,teacher,other,reputation,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,13,14,15,Math,14.0,True
M,15,U,GT3,T,4,4,health,health,other,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,12,15,15,Math,14.0,True
M,16,U,LE3,T,4,2,teacher,other,course,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16,Math,15.333333333333334,True
M,16,U,LE3,T,2,2,other,other,reputation,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,13,13,12,Math,12.666666666666666,True
F,15,R,GT3,T,2,4,services,health,course,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8,Math,9.0,False
F,16,U,GT3,T,2,2,services,services,home,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14,6,9,8,Math,7.666666666666667,False
M,15,U,GT3,T,2,2,other,other,home,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,12,12,11,Math,11.666666666666666,True
M,15,U,GT3,T,4,2,health,services,other,1,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4,15,16,15,Math,15.333333333333334,True
M,16,U,LE3,A,3,4,services,other,home,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,11,11,11,Math,11.0,True
M,16,U,GT3,T,4,4,teacher,teacher,home,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11,Math,11.0,True
M,15,U,GT3,T,4,4,health,services,home,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12,Math,10.666666666666666,True
M,15,U,GT3,T,4,4,services,services,reputation,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,17,16,17,Math,16.666666666666668,True
M,15,R,GT3,T,4,3,teacher,at_home,course,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,17,16,16,Math,16.333333333333332,True
M,15,U,LE3,T,3,3,other,other,course,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,8,10,12,Math,10.0,True
M,16,U,GT3,T,3,2,other,other,home,1,1,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,12,14,15,Math,13.666666666666666,True
F,15,U,GT3,T,2,3,other,other,other,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,8,7,6,Math,7.0,False
M,15,U,LE3,T,4,3,teacher,services,home,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,15,16,18,Math,16.333333333333332,True
M,16,R,GT3,A,4,4,other,teacher,reputation,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15,Math,15.333333333333334,True
F,15,R,GT3,T,3,4,services,health,course,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11,Math,11.666666666666666,True
F,15,R,GT3,T,2,2,at_home,other,reputation,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,13,Math,13.333333333333334,True
F,16,U,LE3,T,2,2,other,other,home,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,7,10,11,Math,9.333333333333334,True
M,15,U,LE3,T,4,4,teacher,other,home,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,12,12,12,Math,12.0,True
M,15,U,GT3,T,4,4,services,teacher,course,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,19,18,18,Math,18.333333333333332,True
M,15,U,GT3,T,2,2,services,services,course,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,8,8,11,Math,9.0,True
F,16,U,LE3,T,2,2,other,at_home,course,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,10,9,Math,9.666666666666666,False
F,15,U,LE3,A,4,3,other,other,course,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6,Math,7.333333333333333,False
F,16,U,LE3,A,3,3,other,services,home,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,11,12,11,Math,11.333333333333334,True
M,16,U,GT3,T,4,3,health,services,reputation,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,19,19,20,Math,19.333333333333332,True
M,15,U,GT3,T,4,2,teacher,other,home,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2,15,15,14,Math,14.666666666666666,True
F,15,U,GT3,T,4,4,services,teacher,other,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,7,7,7,Math,7.0,False
F,16,U,LE3,T,2,2,services,services,course,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2,12,13,13,Math,12.666666666666666,True
F,15,U,LE3,T,4,2,health,other,other,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,11,13,13,Math,12.333333333333334,True
M,15,U,LE3,A,4,2,health,health,other,2,1,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6,11,11,10,Math,10.666666666666666,True
F,15,U,GT3,T,4,4,services,services,course,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,8,10,11,Math,9.666666666666666,True
F,15,U,LE3,A,3,3,other,other,other,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6,10,13,13,Math,12.0,True
F,16,U,GT3,A,2,1,other,other,other,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10,Math,9.0,True
F,15,U,GT3,A,4,3,services,services,reputation,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,14,15,15,Math,14.666666666666666,True
M,15,U,GT3,T,4,4,teacher,health,reputation,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,14,15,15,Math,14.666666666666666,True
M,15,U,LE3,T,1,2,other,at_home,home,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,9,10,9,Math,9.333333333333334,False
F,16,U,GT3,T,4,2,services,other,course,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2,15,16,16,Math,15.666666666666666,True
F,16,R,GT3,T,4,4,health,teacher,other,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,10,11,11,Math,10.666666666666666,True
F,16,U,GT3,T,1,1,services,services,course,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,10,8,11,Math,9.666666666666666,True
F,16,U,LE3,T,1,2,other,services,reputation,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,8,10,9,Math,9.0,False
F,16,U,GT3,T,4,3,teacher,health,home,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,10,9,9,Math,9.333333333333334,False
F,15,U,LE3,T,4,3,services,services,reputation,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,10,10,10,Math,10.0,True
F,16,U,LE3,T,4,3,teacher,services,course,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,15,Math,15.333333333333334,True
M,15,U,GT3,A,4,4,other,services,reputation,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,13,13,12,Math,12.666666666666666,True
F,16,U,GT3,T,3,1,services,other,course,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4,7,7,6,Math,6.666666666666667,False
F,15,R,LE3,T,2,2,health,services,reputation,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2,8,9,8,Math,8.333333333333334,False
F,15,R,LE3,T,3,1,other,other,reputation,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12,16,16,16,Math,16.0,True
M,16,U,GT3,T,3,1,other,other,reputation,2,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,13,15,15,Math,14.333333333333334,True
M,15,U,GT3,T,4,2,other,other,course,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,10,10,10,Math,10.0,True
F,15,R,GT3,T,1,1,other,other,reputation,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,8,6,5,Math,6.333333333333333,False
M,16,U,GT3,T,3,1,other,other,reputation,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,12,12,14,Math,12.666666666666666,True
F,16,U,GT3,T,3,3,other,services,home,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11,12,11,Math,11.333333333333334,True
M,15,U,GT3,T,4,3,teacher,other,home,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,9,9,10,Math,9.333333333333334,True
M,15,U,GT3,T,4,0,teacher,other,course,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8,11,11,10,Math,10.666666666666666,True
F,16,U,GT3,T,2,2,other,other,reputation,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0,11,11,11,Math,11.0,True
M,17,U,GT3,T,2,1,other,other,home,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2,8,8,10,Math,8.666666666666666,True
F,16,U,GT3,T,3,4,at_home,other,course,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12,5,5,5,Math,5.0,False
M,15,U,GT3,T,2,3,other,services,course,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2,10,12,12,Math,11.333333333333334,True
M,15,U,GT3,T,2,3,other,other,home,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4,11,10,11,Math,10.666666666666666,True
F,15,U,LE3,T,3,2,services,other,reputation,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10,7,6,6,Math,6.333333333333333,False
M,15,U,LE3,T,2,2,services,services,home,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,15,15,15,Math,15.0,True
F,15,U,GT3,T,1,1,other,other,home,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,9,10,10,Math,9.666666666666666,True
F,15,U,GT3,T,4,4,services,services,reputation,2,2,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6,7,9,8,Math,8.0,False
F,16,U,LE3,T,2,2,at_home,other,course,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,8,7,6,Math,7.0,False
F,15,U,GT3,T,4,2,other,other,reputation,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,13,14,14,Math,13.666666666666666,True
M,16,U,GT3,T,2,2,services,other,reputation,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12,11,10,10,Math,10.333333333333334,True
M,16,U,LE3,A,4,4,teacher,health,reputation,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18,8,6,7,Math,7.0,False
F,16,U,GT3,T,3,3,other,other,home,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,7,7,8,Math,7.333333333333333,False
F,15,U,GT3,T,4,3,services,other,reputation,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4,16,17,18,Math,17.0,True
F,16,U,LE3,T,3,1,other,other,home,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4,7,6,6,Math,6.333333333333333,False
F,16,U,GT3,T,4,2,teacher,services,home,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,11,10,10,Math,10.333333333333334,True
M,15,U,LE3,T,2,2,services,health,reputation,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6,11,13,14,Math,12.666666666666666,True
F,15,R,GT3,T,1,1,at_home,other,home,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,7,10,10,Math,9.0,True
M,16,R,GT3,T,4,3,services,other,reputation,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,2,11,15,15,Math,13.666666666666666,True
F,16,U,GT3,T,2,1,other,other,course,1,2,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,2,8,9,10,Math,9.0,True
F,16,U,GT3,T,4,4,other,other,reputation,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6,11,14,14,Math,13.0,True
F,16,U,GT3,T,4,3,other,at_home,course,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0,7,9,8,Math,8.0,False
M,16,U,GT3,T,4,4,services,services,other,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14,7,7,5,Math,6.333333333333333,False
M,16,U,GT3,T,4,4,services,teacher,other,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16,17,17,Math,16.666666666666668,True
M,15,U,GT3,T,4,4,services,other,course,1,1,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,10,13,14,Math,12.333333333333334,True
F,15,U,GT3,T,3,2,services,other,home,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,26,7,6,6,Math,6.333333333333333,False
M,15,U,GT3,A,3,4,services,other,course,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,18,18,Math,17.333333333333332,True
F,15,U,GT3,A,3,3,other,health,reputation,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,10,11,11,Math,10.666666666666666,True
F,15,U,GT3,T,2,2,other,other,course,1,4,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,8,7,8,8,Math,7.666666666666667,False
M,16,U,GT3,T,3,3,services,other,home,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,16,18,18,Math,17.333333333333332,True
M,15,R,GT3,T,4,4,other,other,home,4,4,0,no,yes,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,6,10,13,13,Math,12.0,True
F,16,U,LE3,T,4,4,health,health,other,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,14,15,16,Math,15.0,True
M,15,U,LE3,A,4,4,teacher,teacher,course,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,6,18,19,19,Math,18.666666666666668,True
F,16,R,GT3,T,3,3,services,other,reputation,1,3,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,0,7,10,10,Math,9.0,True
F,16,U,GT3,T,2,2,at_home,other,home,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,6,10,13,13,Math,12.0,True
M,15,U,LE3,T,4,2,teacher,other,course,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,18,19,19,Math,18.666666666666668,True
M,15,R,GT3,T,2,1,health,services,reputation,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,8,9,9,9,Math,9.0,False
M,16,U,GT3,T,4,4,teacher,teacher,course,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,2,15,15,16,Math,15.333333333333334,True
M,15,U,GT3,T,4,4,other,teacher,reputation,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,2,11,13,14,Math,12.666666666666666,True
M,16,U,GT3,T,3,3,other,services,home,2,1,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,0,13,14,13,Math,13.333333333333334,True
M,17,R,GT3,T,1,3,other,other,course,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,20,9,7,8,Math,8.0,False
M,15,U,GT3,T,3,4,other,other,reputation,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,6,14,13,13,Math,13.333333333333334,True
F,15,U,GT3,T,1,2,at_home,services,course,1,2,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,2,16,15,15,Math,15.333333333333334,True
M,15,U,GT3,T,2,2,services,services,home,1,4,0,no,yes,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,6,16,14,15,Math,15.0,True
F,16,U,LE3,T,2,4,other,health,course,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,13,13,13,Math,13.0,True
M,16,U,GT3,T,4,4,health,other,course,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,18,14,11,13,Math,12.666666666666666,True
F,16,U,GT3,T,2,2,other,other,home,1,2,0,no,no,yes,no,yes,yes,yes,yes,5,4,4,1,1,5,0,8,7,8,Math,7.666666666666667,False
M,15,U,GT3,T,3,4,services,services,home,1,1,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,0,13,13,12,Math,12.666666666666666,True
F,15,U,LE3,A,3,4,other,other,home,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,7,10,11,Math,9.333333333333334,True
F,19,U,GT3,T,0,1,at_home,other,course,1,2,3,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,2,7,8,9,Math,8.0,False
M,18,R,GT3,T,2,2,services,other,reputation,1,1,2,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,2,4,0,7,4,0,Math,3.6666666666666665,False
M,16,R,GT3,T,4,4,teacher,teacher,course,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,5,5,2,5,4,8,18,18,18,Math,18.0,True
F,15,R,GT3,T,3,4,services,teacher,course,2,3,2,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,2,5,0,12,0,0,Math,4.0,False
F,15,U,GT3,T,1,1,at_home,other,course,3,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,4,0,8,0,0,Math,2.6666666666666665,False
F,17,U,LE3,T,2,2,other,other,course,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,12,10,13,12,Math,11.666666666666666,True
F,16,U,GT3,A,3,4,services,other,course,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,1,1,4,5,16,12,11,11,Math,11.333333333333334,True
M,15,R,GT3,T,3,4,at_home,teacher,course,4,2,0,no,yes,no,no,yes,yes,no,yes,5,3,3,1,1,5,0,9,0,0,Math,3.0,False
F,15,U,GT3,T,4,4,services,at_home,course,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,5,0,11,0,0,Math,3.6666666666666665,False
M,17,R,GT3,T,3,4,at_home,other,course,3,2,0,no,no,no,no,yes,yes,no,no,5,4,5,2,4,5,0,10,0,0,Math,3.3333333333333335,False
F,16,U,GT3,A,3,3,other,other,course,2,1,2,no,yes,no,yes,no,yes,yes,yes,4,3,2,1,1,5,0,4,0,0,Math,1.3333333333333333,False
M,16,U,LE3,T,1,1,services,other,course,1,2,1,no,no,no,no,yes,yes,no,yes,4,4,4,1,3,5,0,14,12,12,Math,12.666666666666666,True
F,15,U,GT3,T,4,4,teacher,teacher,course,2,1,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,16,16,15,Math,15.666666666666666,True
M,15,U,GT3,T,4,3,teacher,services,course,2,4,0,yes,yes,no,no,yes,yes,yes,no,2,2,2,1,1,3,0,7,9,0,Math,5.333333333333333,False
M,16,U,LE3,T,2,2,services,services,reputation,2,1,2,no,yes,no,yes,yes,yes,yes,no,2,3,3,2,2,2,8,9,9,9,Math,9.0,False
F,15,U,GT3,T,4,4,teacher,services,course,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,2,2,1,1,5,2,9,11,11,Math,10.333333333333334,True
F,16,U,LE3,T,1,1,at_home,at_home,course,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,4,3,3,1,2,14,14,13,Math,13.666666666666666,True
M,17,U,GT3,T,2,1,other,other,home,1,1,3,no,yes,no,no,yes,yes,yes,no,5,4,5,1,2,5,0,5,0,0,Math,1.6666666666666667,False
F,15,U,GT3,T,1,1,other,services,course,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,2,1,2,5,0,8,11,11,Math,10.0,True
F,15,U,GT3,T,3,2,health,services,home,1,2,3,no,yes,no,no,yes,yes,yes,no,3,3,2,1,1,3,0,6,7,0,Math,4.333333333333333,False
F,15,U,GT3,T,1,2,at_home,other,course,1,2,0,no,yes,yes,no,no,yes,yes,no,4,3,2,1,1,5,2,10,11,11,Math,10.666666666666666,True
M,16,U,GT3,T,4,4,teacher,teacher,course,1,1,0,no,yes,no,no,yes,no,yes,yes,3,3,2,2,1,5,0,7,6,0,Math,4.333333333333333,False
M,15,U,LE3,A,2,1,services,other,course,4,1,3,no,no,no,no,yes,yes,yes,no,4,5,5,2,5,5,0,8,9,10,Math,9.0,True
M,18,U,LE3,T,1,1,other,other,course,1,1,3,no,no,no,no,yes,no,yes,yes,2,3,5,2,5,4,0,6,5,0,Math,3.6666666666666665,False
M,16,U,LE3,T,2,1,at_home,other,course,1,1,1,no,no,no,yes,yes,yes,no,yes,4,4,4,3,5,5,6,12,13,14,Math,13.0,True
F,15,R,GT3,T,3,3,services,services,reputation,2,3,2,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,8,10,10,10,Math,10.0,True
M,19,U,GT3,T,3,2,services,at_home,home,1,1,3,no,yes,no,no,yes,no,yes,yes,4,5,4,1,1,4,0,5,0,0,Math,1.6666666666666667,False
F,17,U,GT3,T,4,4,other,teacher,course,1,1,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,1,4,0,11,11,12,Math,11.333333333333334,True
M,15,R,GT3,T,2,3,at_home,services,course,1,2,0,yes,no,yes,yes,yes,yes,no,no,4,4,4,1,1,1,2,11,8,8,Math,9.0,False
M,17,R,LE3,T,1,2,other,other,reputation,1,1,0,no,no,no,no,yes,yes,no,no,2,2,2,3,3,5,8,16,12,13,Math,13.666666666666666,True
F,18,R,GT3,T,1,1,at_home,other,course,3,1,3,no,yes,no,yes,no,yes,no,no,5,2,5,1,5,4,6,9,8,10,Math,9.0,True
M,16,R,GT3,T,2,2,at_home,other,course,3,1,0,no,no,no,no,no,yes,no,no,4,2,2,1,2,3,2,17,15,15,Math,15.666666666666666,True
M,16,U,GT3,T,3,3,other,services,course,1,2,1,no,yes,yes,no,yes,yes,yes,yes,4,5,5,4,4,5,4,10,12,12,Math,11.333333333333334,True
M,17,R,LE3,T,2,1,at_home,other,course,2,1,2,no,no,no,yes,yes,no,yes,yes,3,3,2,2,2,5,0,7,6,0,Math,4.333333333333333,False
M,15,R,GT3,T,3,2,other,other,course,2,2,2,yes,yes,no,no,yes,yes,yes,yes,4,4,4,1,4,3,6,5,9,7,Math,7.0,False
M,16,U,LE3,T,1,2,other,other,course,2,1,1,no,no,no,yes,yes,yes,no,no,4,4,4,2,4,5,0,7,0,0,Math,2.3333333333333335,False
M,17,U,GT3,T,1,3,at_home,services,course,1,1,0,no,no,no,no,yes,no,yes,no,5,3,3,1,4,2,2,10,10,10,Math,10.0,True
M,17,R,LE3,T,1,1,other,services,course,4,2,3,no,no,no,yes,yes,no,no,yes,5,3,5,1,5,5,0,5,8,7,Math,6.666666666666667,False
M,16,U,GT3,T,3,2,services,services,course,2,1,1,no,yes,no,yes,no,no,no,no,4,5,2,1,1,2,16,12,11,12,Math,11.666666666666666,True
M,16,U,GT3,T,2,2,other,other,course,1,2,0,no,no,no,no,yes,no,yes,no,4,3,5,2,4,4,4,10,10,10,Math,10.0,True
F,16,U,GT3,T,4,2,health,services,home,1,2,0,no,no,yes,no,yes,yes,yes,yes,4,2,3,1,1,3,0,14,15,16,Math,15.0,True
